week_start,total_events_country,conflict_count,avg_goldstein,avg_tone,goldstein_volatility,total_mentions_conflict,days_covered,week_label,google_trends_score
2025-01-06,12455,1872,-9.839209401709402,-5.019551518147387,0.32457020869329356,20143.0,7,2025-W02,6.0
2025-01-13,14900,1959,-9.850433894844308,-5.192298361189266,0.3284105492531669,22371.0,7,2025-W03,6.0
2025-01-20,12978,1261,-9.85765265662173,-5.168486853592743,0.3208355310544395,11139.0,7,2025-W04,6.0
2025-01-27,11710,1660,-9.856927710843374,-5.707649036925042,0.33100785992254134,16926.0,7,2025-W05,5.0
2025-02-03,14115,1639,-9.858450274557658,-5.305606913665978,0.32278215142037464,15403.0,7,2025-W06,6.0
2025-02-10,29753,1495,-9.824749163879599,-4.534366950858324,0.3505439270669477,12403.0,7,2025-W07,10.0
2025-02-17,39990,1706,-9.81242672919109,-4.170842509956799,0.3458819771765668,16094.0,7,2025-W08,11.0
2025-02-24,49652,2843,-9.850158283503342,-3.346086938115577,0.3338025584908535,41071.0,7,2025-W09,12.0
2025-03-03,43115,3350,-9.855223880597014,-3.431661765612169,0.31922737332850903,37164.0,7,2025-W10,8.0
2025-03-10,33717,2746,-9.834850691915513,-4.218469635154008,0.331060441536497,23981.0,7,2025-W11,6.0
2025-03-17,26168,2505,-9.837924151696607,-4.402597246172212,0.333018678052205,26949.0,7,2025-W12,5.0
2025-03-24,19526,2069,-9.849927501208313,-4.432440901356589,0.3236730753889062,25709.0,7,2025-W13,5.0
2025-03-31,14742,1589,-9.845185651353052,-5.815994632081732,0.32323505479822157,20271.0,7,2025-W14,4.0
2025-04-07,15894,1657,-9.864212432106216,-5.128925556407527,0.316082410315807,16300.0,7,2025-W15,5.0
2025-04-14,21006,2363,-9.839187473550572,-5.175273866544629,0.338342350476309,25301.0,7,2025-W16,5.0
2025-04-21,27402,2459,-9.852379015860105,-4.833775683115051,0.3220368346116824,34702.0,7,2025-W17,5.0
2025-04-28,17954,1705,-9.813782991202347,-4.763042110750498,0.3722521386875831,17070.0,7,2025-W18,6.0
2025-05-05,18961,1752,-9.85074200913242,-4.5644367899327385,0.3265511552409856,18015.0,7,2025-W19,5.0
